"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"77",1996-08-06,"78","61","44","52","46","41","87","60","32","30.24","30.18","30.09","6","6","6","15","6","","0.00","2","","184<br />","Nairobi (KEN)","Summer"
"78",1996-08-07,"77","62","46","61","47","43","87","65","39","30.27","30.20","30.12","6","6","6","16","4","","0.00","3","","214<br />","Nairobi (KEN)","Summer"
"79",1996-08-08,"75","60","46","50","47","45","93","62","36","30.30","30.22","30.15","6","6","6","12","5","","0.00","3","","149<br />","Nairobi (KEN)","Summer"
"80",1996-08-09,"75","62","48","52","47","43","94","65","31","30.30","30.23","30.15","6","6","6","10","3","","0.00","3","","193<br />","Nairobi (KEN)","Summer"
"81",1996-08-10,"77","60","44","50","45","41","93","62","28","30.30","30.22","30.12","6","6","6","12","5","","0.00","2","","185<br />","Nairobi (KEN)","Summer"
"82",1996-08-11,"77","60","44","50","48","43","100","63","36","30.27","30.20","30.12","6","6","6","16","6","","0.00","3","Fog","150<br />","Nairobi (KEN)","Summer"
"83",1996-08-12,"64","60","55","55","52","48","94","76","63","30.30","30.24","30.21","6","6","6","8","4","","0.00","6","","176<br />","Nairobi (KEN)","Summer"
"84",1996-08-13,"66","62","57","55","54","52","94","80","60","30.30","30.21","30.15","6","6","2","7","3","","0.00","6","","158<br />","Nairobi (KEN)","Summer"
"85",1996-08-14,"78","64","51","57","54","48","100","75","36","30.21","30.15","30.06","6","6","4","16","7","","0.00","4","Rain-Thunderstorm","223<br />","Nairobi (KEN)","Summer"
"86",1996-08-15,"66","60","53","57","54","52","100","82","68","30.27","30.18","30.15","6","6","6","10","3","","0.00","5","","46<br />","Nairobi (KEN)","Summer"
"87",1996-08-16,"69","63","57","55","55","54","94","79","56","30.24","30.19","30.12","6","6","6","12","3","","0.00","6","","113<br />","Nairobi (KEN)","Summer"
"88",1996-08-17,"71","62","53","55","54","52","94","73","53","30.21","30.16","30.09","6","6","6","10","4","","0.00","4","","129<br />","Nairobi (KEN)","Summer"
"89",1996-08-18,"77","66","55","54","52","50","88","64","39","30.21","30.15","30.06","6","6","6","12","6","","0.00","5","","137<br />","Nairobi (KEN)","Summer"
"90",1996-08-19,"78","68","57","55","54","50","94","68","41","30.18","30.12","30.04","6","6","6","12","5","","0.00","5","","46<br />","Nairobi (KEN)","Summer"
"91",1996-08-20,"75","64","53","55","54","50","88","68","47","30.18","30.11","30.04","6","6","6","9","5","","0.00","6","","162<br />","Nairobi (KEN)","Summer"
"92",1996-08-21,"77","66","55","57","56","54","94","76","47","30.18","30.13","30.09","6","6","6","15","5","","0.00","4","","67<br />","Nairobi (KEN)","Summer"
"93",1996-08-22,"64","60","59","57","56","55","88","84","73","30.24","30.16","30.12","6","6","6","9","4","","0.00","6","","11<br />","Nairobi (KEN)","Summer"
"94",1996-08-23,"69","63","57","59","55","52","94","79","53","30.24","30.18","30.12","6","6","6","7","4","","0.00","5","Rain","10<br />","Nairobi (KEN)","Summer"
"95",1996-08-24,"71","60","48","55","51","34","100","65","39","30.21","30.13","30.06","6","6","6","10","6","","0.00","6","","151<br />","Nairobi (KEN)","Summer"
"96",1996-08-25,"71","65","59","57","55","54","94","74","53","30.18","30.13","30.06","6","6","6","14","5","","0.00","6","","107<br />","Nairobi (KEN)","Summer"
"97",1996-08-26,"68","62","57","59","56","55","100","85","64","30.24","30.16","30.09","6","6","5","9","5","","0.00","6","Rain","83<br />","Nairobi (KEN)","Summer"
"98",1996-08-27,"68","62","57","57","57","55","100","85","68","30.21","30.15","30.09","6","6","4","12","4","","0.00","6","","20<br />","Nairobi (KEN)","Summer"
"99",1996-08-28,"77","65","53","57","53","50","88","71","41","30.21","30.15","30.06","6","6","6","10","7","","0.00","6","Rain","113<br />","Nairobi (KEN)","Summer"
"100",1996-08-29,"77","67","57","57","56","54","94","76","50","30.21","30.15","30.09","6","6","6","12","5","","0.00","6","","56<br />","Nairobi (KEN)","Summer"
"101",1996-08-30,"69","64","59","55","54","52","88","72","56","30.21","30.15","30.12","6","6","1","13","7","","0.00","5","","114<br />","Nairobi (KEN)","Summer"
"102",1996-08-31,"77","67","57","57","54","50","94","71","41","30.18","30.13","30.04","6","6","6","13","6","","0.00","5","","82<br />","Nairobi (KEN)","Summer"
"103",1996-09-01,"80","70","59","59","54","52","88","75","39","30.18","30.13","30.06","6","6","6","10","5","","0.00","4","Rain","225<br />","Nairobi (KEN)","Summer"
"104",1996-09-02,"69","60","59","57","56","55","88","83","60","30.18","30.14","30.09","6","6","6","6","5","","0.00","4","","48<br />","Nairobi (KEN)","Summer"
"105",1996-09-03,"77","68","59","57","54","52","94","65","44","30.15","30.08","30.01","6","6","6","9","4","","0.00","6","","191<br />","Nairobi (KEN)","Summer"
"106",1996-09-04,"77","68","59","55","52","50","82","67","41","30.15","30.09","30.04","6","6","6","10","2","","0.00","5","","20<br />","Nairobi (KEN)","Summer"
"107",1996-09-05,"77","66","55","55","51","46","94","64","36","30.15","30.08","30.01","6","6","6","12","7","","0.00","5","","118<br />","Nairobi (KEN)","Summer"
"108",1996-09-06,"80","70","59","54","50","45","82","58","28","30.18","30.10","30.04","6","6","6","10","6","","0.00","2","","74<br />","Nairobi (KEN)","Summer"
"109",1996-09-07,"60","","60","57","57","57","88","88","88","30.09","30.09","30.09","6","6","6","7","7","","0.00","6","","50<br />","Nairobi (KEN)","Summer"
"110",1996-09-08,"77","60","60","57","56","55","88","68","47","30.09","30.05","30.01","6","6","6","9","3","","0.00","5","","120<br />","Nairobi (KEN)","Summer"
"111",1996-09-09,"82","60","57","55","53","48","88","71","30","30.15","30.06","30.01","6","6","6","8","3","","0.00","2","","65<br />","Nairobi (KEN)","Summer"
"112",1996-09-10,"75","66","57","54","53","52","88","58","44","30.18","30.09","30.06","6","6","6","12","4","","0.00","4","","88<br />","Nairobi (KEN)","Summer"
"113",1996-09-11,"77","68","60","57","54","52","88","60","44","30.18","30.09","30.04","6","6","6","16","6","","0.00","5","","73<br />","Nairobi (KEN)","Summer"
"114",1996-09-12,"80","70","59","57","56","54","94","73","39","30.18","30.13","30.06","6","6","6","8","4","","0.00","4","","50<br />","Nairobi (KEN)","Summer"
"115",1996-09-13,"82","71","60","55","52","45","82","59","26","30.18","30.11","30.04","6","6","6","12","4","","0.00","3","","65<br />","Nairobi (KEN)","Summer"
"116",1996-09-14,"84","70","55","57","53","48","94","62","29","30.15","30.10","30.04","6","6","6","23","6","","0.00","2","","26<br />","Nairobi (KEN)","Summer"
"117",1996-09-15,"84","72","59","57","53","45","82","59","25","30.15","30.09","30.01","6","6","6","12","5","","0.00","6","","35<br />","Nairobi (KEN)","Summer"
"118",1996-09-16,"77","70","62","59","57","54","88","74","44","30.21","30.14","30.09","6","6","6","8","2","","0.00","5","","95<br />","Nairobi (KEN)","Summer"
"119",1996-09-17,"73","66","59","55","54","54","88","74","50","30.24","30.17","30.12","6","6","6","8","4","","0.00","6","","134<br />","Nairobi (KEN)","Summer"
"120",1996-09-18,"75","65","55","55","53","52","88","73","44","30.27","30.18","30.09","6","6","6","8","3","","0.00","4","","123<br />","Nairobi (KEN)","Summer"
"121",1996-09-19,"78","68","59","55","53","50","88","66","39","30.27","30.20","30.15","6","6","6","10","5","","0.00","5","","117<br />","Nairobi (KEN)","Summer"
"122",1996-09-20,"68","64","59","55","54","52","88","73","60","30.24","30.21","30.18","6","6","6","8","7","","0.00","4","","87<br />","Nairobi (KEN)","Summer"
"123",1996-09-21,"75","55","51","54","52","50","94","78","41","30.30","30.23","30.15","6","6","6","9","6","","0.00","6","","186<br />","Nairobi (KEN)","Summer"
"124",1996-09-22,"60","50","50","48","46","45","82","72","63","30.24","30.24","30.24","","","","7","5","","0.00","","","270<br />","Nairobi (KEN)","Autumn"
"125",1996-09-23,"80","66","51","50","45","37","82","55","21","30.24","30.17","30.09","6","6","6","9","5","","0.00","6","","162<br />","Nairobi (KEN)","Autumn"
"126",1996-09-24,"82","68","53","46","44","37","72","38","21","30.21","30.13","30.04","6","6","6","14","5","","0.00","2","","123<br />","Nairobi (KEN)","Autumn"
"127",1996-09-25,"75","64","53","55","52","50","100","69","41","30.24","30.17","30.09","6","6","6","15","8","","0.00","5","","60<br />","Nairobi (KEN)","Autumn"
"128",1996-09-26,"78","68","57","55","52","48","94","62","34","30.24","30.16","30.09","6","6","6","13","7","","0.00","5","","86<br />","Nairobi (KEN)","Autumn"
"129",1996-09-27,"78","63","48","55","52","48","100","62","34","30.24","30.15","30.06","6","6","6","17","9","","0.00","5","","90<br />","Nairobi (KEN)","Autumn"
"130",1996-09-28,"77","67","57","70","54","50","88","66","41","30.24","30.16","29.95","6","6","6","14","6","","0.00","5","","85<br />","Nairobi (KEN)","Autumn"
"131",1996-09-29,"73","68","62","55","51","48","72","52","41","30.27","30.16","30.09","6","6","6","12","6","","0.00","6","","103<br />","Nairobi (KEN)","Autumn"
"132",1996-09-30,"75","66","57","57","53","50","94","68","44","30.24","30.16","30.09","6","6","6","12","5","","0.00","6","","75<br />","Nairobi (KEN)","Autumn"
"133",1996-10-01,"78","68","59","55","54","50","88","68","36","30.24","30.16","30.09","6","6","6","13","9","","0.00","5","","57<br />","Nairobi (KEN)","Autumn"
"134",1996-10-02,"68","62","59","55","54","52","82","69","56","30.21","30.17","30.15","6","6","6","12","6","","0.00","3","","100<br />","Nairobi (KEN)","Autumn"
"135",1996-10-03,"80","68","57","55","52","48","88","65","32","30.21","30.15","30.06","6","6","6","16","7","","0.00","3","","76<br />","Nairobi (KEN)","Autumn"
"136",1996-10-04,"77","65","53","55","53","50","94","79","39","30.21","30.14","30.06","6","6","6","15","5","","0.00","6","","68<br />","Nairobi (KEN)","Autumn"
"137",1996-10-05,"73","66","60","57","54","52","88","72","47","30.18","30.13","30.06","6","6","6","15","9","","0.00","5","","70<br />","Nairobi (KEN)","Autumn"
"138",1996-10-06,"78","68","59","57","54","50","94","66","39","30.21","30.13","30.06","6","6","6","15","9","","0.00","4","","78<br />","Nairobi (KEN)","Autumn"
"139",1996-10-07,"71","60","59","55","52","48","88","68","43","30.24","30.15","30.09","6","6","6","9","6","","0.00","5","","83<br />","Nairobi (KEN)","Autumn"
"140",1996-10-08,"75","67","59","54","50","46","82","62","36","30.24","30.16","30.09","6","6","6","14","6","","0.00","5","","84<br />","Nairobi (KEN)","Autumn"
"141",1996-10-09,"78","68","59","57","53","48","94","64","36","30.24","30.16","30.09","6","6","6","9","3","","0.00","4","","107<br />","Nairobi (KEN)","Autumn"
"142",1996-10-10,"78","68","59","59","54","46","94","70","32","30.24","30.17","30.09","6","6","6","14","4","","0.00","6","","64<br />","Nairobi (KEN)","Autumn"
"143",1996-10-11,"59","","59","55","55","55","88","88","88","30.12","30.12","30.12","6","6","6","0","0","","0.00","6","","-1<br />","Nairobi (KEN)","Autumn"
"144",1996-10-12,"80","68","55","57","53","46","94","72","30","30.21","30.15","30.06","6","6","6","14","5","","0.00","4","","32<br />","Nairobi (KEN)","Autumn"
"145",1996-10-13,"80","70","59","55","52","50","88","51","34","30.18","30.14","30.09","6","6","6","21","14","","0.00","4","","78<br />","Nairobi (KEN)","Autumn"
"146",1996-10-14,"80","68","57","57","53","48","100","64","32","30.24","30.15","30.06","6","6","6","18","10","","0.00","5","","73<br />","Nairobi (KEN)","Autumn"
"147",1996-10-15,"80","70","59","57","55","50","94","64","34","30.21","30.13","30.04","6","6","6","21","9","","0.00","5","","67<br />","Nairobi (KEN)","Autumn"
"148",1996-10-16,"78","68","59","57","54","50","88","63","36","30.21","30.12","30.04","6","6","6","16","10","","0.00","4","","62<br />","Nairobi (KEN)","Autumn"
"149",1996-10-17,"78","68","57","55","52","46","94","59","34","30.24","30.14","30.06","6","6","6","14","8","","0.00","4","","70<br />","Nairobi (KEN)","Autumn"
"150",1996-10-18,"78","68","57","55","51","45","88","62","34","30.24","30.15","30.09","6","6","6","16","10","","0.00","5","","81<br />","Nairobi (KEN)","Autumn"
"151",1996-10-19,"77","67","57","54","52","48","88","62","36","30.24","30.16","30.09","6","6","6","14","8","","0.00","5","","81<br />","Nairobi (KEN)","Autumn"
"152",1996-10-20,"78","68","57","57","53","48","94","64","34","30.21","30.13","30.04","6","6","6","17","6","","0.00","3","","63<br />","Nairobi (KEN)","Autumn"
"153",1996-10-21,"71","60","48","59","55","48","100","80","53","30.21","30.13","30.01","6","6","6","14","7","","0.00","3","","57<br />","Nairobi (KEN)","Autumn"
"154",1996-10-22,"80","68","57","61","55","50","94","65","37","30.18","30.13","30.04","6","6","6","18","8","","0.00","5","","72<br />","Nairobi (KEN)","Autumn"
"155",1996-10-23,"84","72","59","55","50","41","88","52","25","30.21","30.13","30.06","6","6","6","14","7","","0.00","4","","76<br />","Nairobi (KEN)","Autumn"
"156",1996-10-24,"77","66","55","55","47","36","82","55","25","30.27","30.20","30.15","6","6","6","10","7","","0.00","4","","50<br />","Nairobi (KEN)","Autumn"
"157",1996-10-25,"82","70","59","59","54","48","94","61","30","30.27","30.17","30.06","6","6","6","10","6","","0.00","4","","94<br />","Nairobi (KEN)","Autumn"
"158",1996-10-26,"77","70","62","59","55","50","82","64","39","30.24","30.17","30.06","6","6","6","8","7","","0.00","3","","105<br />","Nairobi (KEN)","Autumn"
"159",1996-10-27,"82","72","62","59","51","45","88","53","26","30.18","30.09","29.98","6","6","6","12","9","","0.00","4","","71<br />","Nairobi (KEN)","Autumn"
"160",1996-10-28,"77","66","59","57","55","50","88","76","39","30.18","30.13","30.09","6","6","6","9","5","","0.00","5","","50<br />","Nairobi (KEN)","Autumn"
"161",1996-10-29,"80","64","48","54","51","48","100","58","32","30.21","30.16","30.06","6","6","6","14","5","","0.00","2","","86<br />","Nairobi (KEN)","Autumn"
"162",1996-10-30,"84","72","59","55","51","45","82","51","25","30.21","30.12","30.01","6","6","6","12","7","","0.00","4","","72<br />","Nairobi (KEN)","Autumn"
"163",1996-10-31,"84","70","57","57","50","37","94","51","21","30.18","30.10","30.01","6","6","6","16","7","","0.00","3","","72<br />","Nairobi (KEN)","Autumn"
"164",1996-11-01,"82","71","60","59","55","48","88","65","30","30.15","30.07","30.01","6","6","6","13","7","","0.00","3","","64<br />","Nairobi (KEN)","Autumn"
"165",1996-11-02,"82","64","62","59","55","46","88","65","28","30.15","30.08","29.98","6","6","6","12","12","","0.00","5","","50<br />","Nairobi (KEN)","Autumn"
"166",1996-11-04,"75","","75","55","55","55","50","50","50","30.06","30.06","30.06","6","6","6","13","13","","0.00","3","","60<br />","Nairobi (KEN)","Autumn"
"167",1996-11-05,"62","62","62","61","61","61","94","94","94","30.21","30.16","30.12","6","6","6","8","7","","0.00","6","","25<br />","Nairobi (KEN)","Autumn"
"168",1996-11-06,"62","","62","59","59","59","88","88","88","30.18","30.15","30.12","6","6","6","10","10","","0.00","4","","75<br />","Nairobi (KEN)","Autumn"
"169",1996-11-07,"66","65","64","61","60","59","83","83","83","30.21","30.12","30.06","6","5","3","12","8","","0.00","6","Rain-Thunderstorm","25<br />","Nairobi (KEN)","Autumn"
"170",1996-11-08,"77","70","62","61","57","52","88","74","41","30.18","30.10","30.04","6","6","6","12","8","","0.00","5","","48<br />","Nairobi (KEN)","Autumn"
